UserID,PreferredIndustries,PreferredSupplierType,PreferredOrderQuantity,PreferredShippingMethod,ReceiveAlerts,RegistrationDate
1029,Chemicals & Fertilizers,Startups,Small orders,Air Freight,False,2025-01-06 13:48:23.062184
1030,Petroleum & Energy,Small Businesses,Bulk orders,Air Freight,False,2025-05-25 13:48:23.062337
1031,"Agriculture & Food,Construction & Building Materials",Large Corporations,Large orders,Sea Freight,True,2024-09-03 13:48:23.062497
1032,Chemicals & Fertilizers,Large Corporations,Bulk orders,Land Transport,False,2025-04-28 13:48:23.062648
1033,Chemicals & Fertilizers,Large Corporations,Bulk orders,Air Freight,True,2024-09-09 13:48:23.062812
1034,Electronics,Small Businesses,Bulk orders,Land Transport,True,2025-01-06 13:48:23.063007
1035,"Handicrafts & Furniture,Construction & Building Materials,Textiles & Garments",Large Corporations,Bulk orders,Sea Freight,False,2025-02-22 13:48:23.063166
1036,"Agriculture & Food,Textiles & Garments,Construction & Building Materials",Small Businesses,Bulk orders,Air Freight,True,2024-08-21 13:48:23.063315
1037,"Construction & Building Materials,Agriculture & Food",Medium Enterprises,Small orders,Express Delivery,True,2024-08-04 13:48:23.063465
1038,"Chemicals & Fertilizers,Petroleum & Energy",Startups,Medium orders,Express Delivery,False,2025-01-24 13:48:23.063614
1039,"Textiles & Garments,Construction & Building Materials",Medium Enterprises,Small orders,Sea Freight,False,2025-04-19 13:48:23.063765
1040,"Electronics,Handicrafts & Furniture",Large Corporations,Bulk orders,Air Freight,True,2024-09-25 13:48:23.063922
1041,Textiles & Garments,Medium Enterprises,Small orders,Express Delivery,False,2024-07-01 13:48:23.064081
1042,"Agriculture & Food,Electronics,Handicrafts & Furniture",Large Corporations,Small orders,Express Delivery,True,2024-09-14 13:48:23.064232
1043,"Chemicals & Fertilizers,Construction & Building Materials",Large Corporations,Large orders,Air Freight,False,2025-02-07 13:48:23.064379
1044,"Handicrafts & Furniture,Chemicals & Fertilizers",Startups,Small orders,Express Delivery,True,2024-09-17 13:48:23.064532
1045,Agriculture & Food,Medium Enterprises,Bulk orders,Land Transport,True,2025-03-22 13:48:23.064682
1046,Petroleum & Energy,Medium Enterprises,Medium orders,Sea Freight,False,2024-11-24 13:48:23.064828
1047,"Handicrafts & Furniture,Chemicals & Fertilizers",Small Businesses,Large orders,Sea Freight,False,2024-10-13 13:48:23.064990
1048,Agriculture & Food,Large Corporations,Medium orders,Express Delivery,True,2024-07-26 13:48:23.065143
1049,Textiles & Garments,Startups,Bulk orders,Sea Freight,True,2025-05-14 13:48:23.065301
1050,Petroleum & Energy,Small Businesses,Bulk orders,Sea Freight,True,2025-05-03 13:48:23.065463
1051,Handicrafts & Furniture,Large Corporations,Large orders,Air Freight,False,2024-09-25 13:48:23.065621
1052,Chemicals & Fertilizers,Small Businesses,Large orders,Express Delivery,False,2025-02-22 13:48:23.065778
1053,Petroleum & Energy,Small Businesses,Bulk orders,Sea Freight,True,2024-12-06 13:48:23.065946
1054,"Textiles & Garments,Handicrafts & Furniture,Electronics",Startups,Bulk orders,Land Transport,False,2024-11-04 13:48:23.066105
1055,Petroleum & Energy,Small Businesses,Medium orders,Air Freight,True,2025-04-15 13:48:23.066252
1056,Construction & Building Materials,Startups,Small orders,Air Freight,True,2025-04-01 13:48:23.066402
1057,Textiles & Garments,Startups,Small orders,Air Freight,True,2025-05-22 13:48:23.066558
1058,"Petroleum & Energy,Handicrafts & Furniture,Agriculture & Food",Small Businesses,Small orders,Sea Freight,False,2024-11-05 13:48:23.066708
1059,"Agriculture & Food,Petroleum & Energy",Large Corporations,Bulk orders,Air Freight,False,2024-10-06 13:48:23.066857
1060,"Chemicals & Fertilizers,Agriculture & Food",Medium Enterprises,Large orders,Sea Freight,False,2025-06-11 13:48:23.067462
1061,Petroleum & Energy,Medium Enterprises,Bulk orders,Air Freight,True,2024-07-24 13:48:23.067633
1062,Electronics,Small Businesses,Bulk orders,Sea Freight,True,2025-03-17 13:48:23.067794
1063,"Textiles & Garments,Electronics",Startups,Medium orders,Sea Freight,False,2024-08-03 13:48:23.067953
1064,"Textiles & Garments,Construction & Building Materials,Petroleum & Energy",Large Corporations,Bulk orders,Air Freight,True,2024-08-08 13:48:23.068104
1065,Chemicals & Fertilizers,Small Businesses,Small orders,Land Transport,True,2025-03-28 13:48:23.068253
1066,"Petroleum & Energy,Electronics",Startups,Small orders,Sea Freight,True,2024-10-26 13:48:23.068404
1067,Chemicals & Fertilizers,Startups,Large orders,Air Freight,True,2025-06-04 13:48:23.068552
1068,"Textiles & Garments,Chemicals & Fertilizers",Startups,Medium orders,Express Delivery,False,2024-08-04 13:48:23.068704
1069,"Handicrafts & Furniture,Petroleum & Energy",Large Corporations,Small orders,Air Freight,True,2024-11-16 13:48:23.068852
1070,Electronics,Medium Enterprises,Medium orders,Land Transport,False,2024-12-01 13:48:23.069013
1071,"Electronics,Chemicals & Fertilizers,Textiles & Garments",Large Corporations,Small orders,Air Freight,True,2024-08-31 13:48:23.069177
1072,"Construction & Building Materials,Handicrafts & Furniture",Large Corporations,Small orders,Sea Freight,True,2024-09-06 13:48:23.069337
1073,Electronics,Small Businesses,Small orders,Express Delivery,True,2025-06-10 13:48:23.069501
1074,Petroleum & Energy,Small Businesses,Small orders,Sea Freight,False,2025-03-25 13:48:23.069655
1075,Construction & Building Materials,Small Businesses,Small orders,Express Delivery,False,2024-09-01 13:48:23.069814
1076,"Agriculture & Food,Chemicals & Fertilizers",Large Corporations,Large orders,Sea Freight,False,2025-04-23 13:48:23.069978
1077,Textiles & Garments,Large Corporations,Large orders,Land Transport,True,2024-10-30 13:48:23.070136
1078,Agriculture & Food,Startups,Bulk orders,Sea Freight,False,2024-08-14 13:48:23.070292
1079,"Agriculture & Food,Electronics",Startups,Small orders,Sea Freight,True,2024-07-16 13:48:23.070446
1080,"Handicrafts & Furniture,Textiles & Garments",Startups,Medium orders,Express Delivery,True,2024-07-21 13:48:23.070597
1081,Chemicals & Fertilizers,Medium Enterprises,Small orders,Sea Freight,True,2025-05-04 13:48:23.070746
1082,"Construction & Building Materials,Textiles & Garments,Handicrafts & Furniture",Startups,Large orders,Land Transport,True,2025-01-07 13:48:23.070910
1083,"Handicrafts & Furniture,Construction & Building Materials",Medium Enterprises,Bulk orders,Sea Freight,True,2025-05-25 13:48:23.071066
1084,Construction & Building Materials,Medium Enterprises,Small orders,Sea Freight,False,2024-08-19 13:48:23.071213
1085,"Construction & Building Materials,Handicrafts & Furniture,Textiles & Garments",Large Corporations,Bulk orders,Sea Freight,True,2024-08-01 13:48:23.071361
1086,Handicrafts & Furniture,Small Businesses,Bulk orders,Land Transport,True,2025-02-09 13:48:23.071513
1087,"Agriculture & Food,Textiles & Garments",Medium Enterprises,Small orders,Sea Freight,False,2024-12-11 13:48:23.071659
1088,"Construction & Building Materials,Petroleum & Energy,Agriculture & Food",Medium Enterprises,Medium orders,Land Transport,True,2025-06-01 13:48:23.071810
1089,Handicrafts & Furniture,Small Businesses,Large orders,Sea Freight,False,2025-02-10 13:48:23.071968
1090,Chemicals & Fertilizers,Small Businesses,Small orders,Sea Freight,True,2024-10-31 13:48:23.072118
1091,"Textiles & Garments,Electronics,Chemicals & Fertilizers",Small Businesses,Small orders,Sea Freight,False,2024-09-07 13:48:23.072266
1092,"Construction & Building Materials,Handicrafts & Furniture",Small Businesses,Small orders,Sea Freight,True,2024-11-30 13:48:23.072414
1093,"Agriculture & Food,Textiles & Garments",Large Corporations,Bulk orders,Land Transport,True,2024-10-12 13:48:23.072570
1094,"Agriculture & Food,Petroleum & Energy,Electronics",Medium Enterprises,Bulk orders,Express Delivery,True,2025-06-12 13:48:23.072723
1095,"Chemicals & Fertilizers,Textiles & Garments,Construction & Building Materials",Medium Enterprises,Small orders,Sea Freight,True,2024-11-25 13:48:23.072875
1096,"Handicrafts & Furniture,Electronics",Medium Enterprises,Bulk orders,Land Transport,False,2024-11-03 13:48:23.073027
1097,Chemicals & Fertilizers,Medium Enterprises,Large orders,Land Transport,False,2024-07-18 13:48:23.073189
1098,"Electronics,Handicrafts & Furniture,Textiles & Garments",Large Corporations,Medium orders,Express Delivery,False,2025-06-03 13:48:23.073348
1099,"Petroleum & Energy,Chemicals & Fertilizers",Large Corporations,Large orders,Express Delivery,False,2025-03-14 13:48:23.073515
1100,"Electronics,Chemicals & Fertilizers,Petroleum & Energy",Small Businesses,Bulk orders,Land Transport,True,2025-04-01 13:48:23.073676
1101,"Electronics,Petroleum & Energy,Handicrafts & Furniture",Large Corporations,Small orders,Air Freight,False,2024-08-04 13:48:23.073833
1102,"Petroleum & Energy,Construction & Building Materials",Medium Enterprises,Medium orders,Sea Freight,False,2025-03-19 13:48:23.074000
1103,Handicrafts & Furniture,Medium Enterprises,Bulk orders,Land Transport,True,2024-06-28 13:48:23.074158
1104,"Petroleum & Energy,Chemicals & Fertilizers,Construction & Building Materials",Large Corporations,Medium orders,Sea Freight,True,2025-03-04 13:48:23.074315
1105,"Agriculture & Food,Petroleum & Energy,Construction & Building Materials",Medium Enterprises,Bulk orders,Express Delivery,True,2025-02-25 13:48:23.074466
1106,Textiles & Garments,Small Businesses,Small orders,Air Freight,True,2024-08-31 13:48:23.074616
1107,"Electronics,Chemicals & Fertilizers",Medium Enterprises,Small orders,Sea Freight,False,2025-01-08 13:48:23.074787
1108,"Petroleum & Energy,Agriculture & Food,Chemicals & Fertilizers",Startups,Small orders,Air Freight,True,2024-07-27 13:48:23.074945
1109,Construction & Building Materials,Large Corporations,Small orders,Express Delivery,True,2024-10-05 13:48:23.075095
1110,"Agriculture & Food,Construction & Building Materials",Medium Enterprises,Small orders,Express Delivery,False,2024-11-18 13:48:23.075253
1111,Textiles & Garments,Small Businesses,Bulk orders,Land Transport,False,2025-03-16 13:48:23.075402
1112,"Construction & Building Materials,Textiles & Garments,Electronics",Small Businesses,Medium orders,Land Transport,True,2024-10-02 13:48:23.075555
1113,"Chemicals & Fertilizers,Agriculture & Food",Small Businesses,Small orders,Land Transport,False,2025-04-22 13:48:23.075706
1114,"Chemicals & Fertilizers,Petroleum & Energy,Construction & Building Materials",Startups,Small orders,Air Freight,False,2024-08-29 13:48:23.075858
1115,"Handicrafts & Furniture,Electronics,Textiles & Garments",Large Corporations,Medium orders,Land Transport,False,2024-07-04 13:48:23.076017
1116,Agriculture & Food,Startups,Small orders,Land Transport,False,2024-11-30 13:48:23.076166
1117,Handicrafts & Furniture,Medium Enterprises,Bulk orders,Sea Freight,True,2025-04-28 13:48:23.076314
1118,"Handicrafts & Furniture,Chemicals & Fertilizers,Petroleum & Energy",Startups,Large orders,Air Freight,False,2025-04-28 13:48:23.076464
1119,"Electronics,Petroleum & Energy,Construction & Building Materials",Startups,Medium orders,Air Freight,True,2024-09-03 13:48:23.076614
1120,"Handicrafts & Furniture,Construction & Building Materials,Electronics",Medium Enterprises,Bulk orders,Air Freight,False,2024-11-06 13:48:23.076765
1121,"Petroleum & Energy,Electronics",Large Corporations,Large orders,Express Delivery,False,2025-01-05 13:48:23.076922
1122,Handicrafts & Furniture,Small Businesses,Small orders,Land Transport,True,2024-10-04 13:48:23.077082
1123,Petroleum & Energy,Startups,Large orders,Express Delivery,False,2024-08-29 13:48:23.077241
1124,"Electronics,Petroleum & Energy",Small Businesses,Medium orders,Land Transport,True,2025-06-09 13:48:23.077399
1125,"Petroleum & Energy,Construction & Building Materials",Startups,Small orders,Express Delivery,False,2025-06-14 13:48:23.077551
1126,Handicrafts & Furniture,Medium Enterprises,Large orders,Land Transport,True,2025-05-27 13:48:23.077713
1127,Chemicals & Fertilizers,Large Corporations,Bulk orders,Sea Freight,False,2024-06-17 13:48:23.077865
1128,Agriculture & Food,Startups,Small orders,Sea Freight,True,2024-11-19 13:48:23.078019
1129,"Handicrafts & Furniture,Construction & Building Materials",Medium Enterprises,Medium orders,Land Transport,False,2025-06-12 13:48:23.078169
1130,"Construction & Building Materials,Agriculture & Food",Large Corporations,Medium orders,Sea Freight,False,2024-07-10 13:48:23.078321
1131,"Textiles & Garments,Chemicals & Fertilizers",Medium Enterprises,Medium orders,Express Delivery,True,2025-02-19 13:48:23.078471
1132,"Construction & Building Materials,Petroleum & Energy",Large Corporations,Bulk orders,Sea Freight,False,2024-10-22 13:48:23.078621
1133,Chemicals & Fertilizers,Startups,Medium orders,Sea Freight,False,2025-04-13 13:48:23.078769
1134,"Petroleum & Energy,Electronics",Startups,Large orders,Sea Freight,True,2025-01-18 13:48:23.078932
1135,"Textiles & Garments,Petroleum & Energy,Handicrafts & Furniture",Large Corporations,Medium orders,Sea Freight,True,2025-02-25 13:48:23.079122
1136,"Electronics,Construction & Building Materials",Large Corporations,Large orders,Express Delivery,True,2024-07-14 13:48:23.079282
1137,"Handicrafts & Furniture,Construction & Building Materials",Medium Enterprises,Small orders,Air Freight,True,2024-08-24 13:48:23.079437
1138,Construction & Building Materials,Large Corporations,Large orders,Land Transport,False,2024-10-30 13:48:23.079586
1139,"Textiles & Garments,Agriculture & Food,Chemicals & Fertilizers",Startups,Large orders,Land Transport,True,2025-05-30 13:48:23.079738
1140,"Handicrafts & Furniture,Textiles & Garments",Large Corporations,Small orders,Air Freight,True,2024-11-30 13:48:23.079895
1141,Handicrafts & Furniture,Small Businesses,Small orders,Sea Freight,True,2024-09-01 13:48:23.080045
1142,"Construction & Building Materials,Chemicals & Fertilizers",Large Corporations,Medium orders,Land Transport,True,2025-06-09 13:48:23.080192
1143,Construction & Building Materials,Large Corporations,Medium orders,Express Delivery,True,2025-03-05 13:48:23.080341
1144,Electronics,Large Corporations,Small orders,Land Transport,False,2024-12-15 13:48:23.080489
1145,"Chemicals & Fertilizers,Textiles & Garments,Petroleum & Energy",Small Businesses,Medium orders,Air Freight,False,2025-02-28 13:48:23.080636
1146,"Handicrafts & Furniture,Agriculture & Food",Large Corporations,Small orders,Air Freight,False,2025-03-12 13:48:23.080783
1147,"Electronics,Textiles & Garments,Petroleum & Energy",Small Businesses,Medium orders,Air Freight,False,2024-12-13 13:48:23.080957
1148,"Textiles & Garments,Handicrafts & Furniture,Construction & Building Materials",Small Businesses,Small orders,Sea Freight,True,2025-06-13 13:48:23.081117
1149,Agriculture & Food,Small Businesses,Small orders,Express Delivery,True,2025-04-04 13:48:23.081266
1150,"Handicrafts & Furniture,Petroleum & Energy,Chemicals & Fertilizers",Small Businesses,Small orders,Air Freight,True,2024-11-30 13:48:23.081420
1151,"Textiles & Garments,Construction & Building Materials,Agriculture & Food",Small Businesses,Large orders,Express Delivery,False,2025-04-18 13:48:23.081570
1152,Construction & Building Materials,Medium Enterprises,Large orders,Sea Freight,True,2024-11-10 13:48:23.081725
1153,Textiles & Garments,Small Businesses,Medium orders,Land Transport,True,2024-12-21 13:48:23.081909
1154,Textiles & Garments,Medium Enterprises,Large orders,Sea Freight,False,2025-04-15 13:48:23.082108
1155,Petroleum & Energy,Small Businesses,Small orders,Express Delivery,False,2024-06-24 13:48:23.082260
1156,"Petroleum & Energy,Construction & Building Materials",Large Corporations,Small orders,Sea Freight,False,2024-12-28 13:48:23.082407
1157,Handicrafts & Furniture,Startups,Bulk orders,Land Transport,False,2024-07-23 13:48:23.082555
1158,"Chemicals & Fertilizers,Construction & Building Materials,Agriculture & Food",Startups,Small orders,Express Delivery,True,2025-03-27 13:48:23.082705
1159,"Construction & Building Materials,Agriculture & Food",Startups,Bulk orders,Sea Freight,False,2024-07-04 13:48:23.082855
1160,Petroleum & Energy,Large Corporations,Bulk orders,Air Freight,True,2024-06-18 13:48:23.083012
1161,Handicrafts & Furniture,Medium Enterprises,Bulk orders,Land Transport,True,2024-10-24 13:48:23.083159
1162,Handicrafts & Furniture,Medium Enterprises,Bulk orders,Land Transport,True,2025-01-09 13:48:23.083305
1163,"Chemicals & Fertilizers,Agriculture & Food,Textiles & Garments",Small Businesses,Bulk orders,Land Transport,False,2024-11-04 13:48:23.083462
1164,Electronics,Large Corporations,Medium orders,Express Delivery,False,2024-07-07 13:48:23.083616
1165,Agriculture & Food,Small Businesses,Bulk orders,Sea Freight,True,2025-04-17 13:48:23.083767
1166,"Agriculture & Food,Chemicals & Fertilizers,Construction & Building Materials",Large Corporations,Bulk orders,Air Freight,False,2024-12-05 13:48:23.083924
1167,"Agriculture & Food,Handicrafts & Furniture",Large Corporations,Small orders,Express Delivery,False,2024-10-08 13:48:23.084078
1168,"Petroleum & Energy,Handicrafts & Furniture,Agriculture & Food",Small Businesses,Medium orders,Land Transport,True,2025-04-19 13:48:23.084225
1169,"Textiles & Garments,Chemicals & Fertilizers,Construction & Building Materials",Small Businesses,Small orders,Land Transport,True,2024-09-04 13:48:23.084375
1170,Agriculture & Food,Medium Enterprises,Large orders,Land Transport,True,2024-07-14 13:48:23.084532
1171,"Handicrafts & Furniture,Petroleum & Energy",Small Businesses,Large orders,Express Delivery,False,2025-01-20 13:48:23.084679
1172,Construction & Building Materials,Medium Enterprises,Large orders,Sea Freight,True,2025-01-04 13:48:23.084829
1173,Electronics,Startups,Medium orders,Air Freight,True,2025-03-15 13:48:23.084984
1174,Textiles & Garments,Small Businesses,Bulk orders,Express Delivery,True,2025-05-23 13:48:23.085133
1175,"Electronics,Textiles & Garments",Small Businesses,Medium orders,Express Delivery,False,2024-10-31 13:48:23.085285
1176,Electronics,Small Businesses,Small orders,Sea Freight,False,2025-04-05 13:48:23.085440
1177,"Handicrafts & Furniture,Chemicals & Fertilizers,Construction & Building Materials",Medium Enterprises,Medium orders,Land Transport,True,2025-01-01 13:48:23.085592
1178,"Chemicals & Fertilizers,Electronics,Petroleum & Energy",Startups,Large orders,Sea Freight,True,2025-03-20 13:48:23.085743
1179,Textiles & Garments,Medium Enterprises,Medium orders,Express Delivery,False,2025-01-06 13:48:23.085899
1180,"Handicrafts & Furniture,Chemicals & Fertilizers",Small Businesses,Small orders,Sea Freight,True,2025-03-31 13:48:23.086050
1181,"Agriculture & Food,Chemicals & Fertilizers",Large Corporations,Medium orders,Sea Freight,True,2024-08-15 13:48:23.086198
1182,"Electronics,Construction & Building Materials,Agriculture & Food",Small Businesses,Large orders,Land Transport,False,2025-05-06 13:48:23.086470
1183,"Chemicals & Fertilizers,Agriculture & Food",Large Corporations,Large orders,Land Transport,True,2025-03-24 13:48:23.086637
1184,"Textiles & Garments,Agriculture & Food",Small Businesses,Bulk orders,Sea Freight,False,2025-06-04 13:48:23.087042
1185,"Electronics,Petroleum & Energy,Chemicals & Fertilizers",Large Corporations,Large orders,Sea Freight,False,2024-12-25 13:48:23.087206
1186,Agriculture & Food,Medium Enterprises,Large orders,Sea Freight,True,2024-06-29 13:48:23.087356
1187,Textiles & Garments,Small Businesses,Small orders,Sea Freight,True,2024-11-21 13:48:23.087506
1188,Handicrafts & Furniture,Medium Enterprises,Small orders,Express Delivery,False,2024-08-27 13:48:23.087655
1189,"Handicrafts & Furniture,Textiles & Garments",Small Businesses,Bulk orders,Sea Freight,True,2024-06-27 13:48:23.087815
1190,"Agriculture & Food,Textiles & Garments",Large Corporations,Large orders,Sea Freight,False,2025-02-11 13:48:23.087971
1191,"Handicrafts & Furniture,Construction & Building Materials,Agriculture & Food",Medium Enterprises,Bulk orders,Express Delivery,False,2025-03-21 13:48:23.088128
1192,"Textiles & Garments,Electronics",Medium Enterprises,Small orders,Air Freight,False,2024-08-04 13:48:23.088283
1193,Chemicals & Fertilizers,Medium Enterprises,Small orders,Land Transport,True,2025-05-19 13:48:23.088439
1194,"Construction & Building Materials,Petroleum & Energy",Startups,Bulk orders,Express Delivery,True,2024-08-17 13:48:23.088593
1195,"Agriculture & Food,Textiles & Garments,Construction & Building Materials",Medium Enterprises,Small orders,Sea Freight,False,2024-07-01 13:48:23.088746
1196,Electronics,Small Businesses,Small orders,Express Delivery,False,2024-09-05 13:48:23.088900
1197,Petroleum & Energy,Small Businesses,Bulk orders,Express Delivery,False,2025-01-11 13:48:23.089046
1198,"Textiles & Garments,Petroleum & Energy,Agriculture & Food",Medium Enterprises,Medium orders,Sea Freight,True,2024-08-27 13:48:23.089196
1199,"Construction & Building Materials,Electronics",Large Corporations,Small orders,Air Freight,True,2024-12-19 13:48:23.089347
1200,"Textiles & Garments,Chemicals & Fertilizers",Large Corporations,Large orders,Sea Freight,False,2024-11-11 13:48:23.089498
1201,"Handicrafts & Furniture,Construction & Building Materials",Medium Enterprises,Bulk orders,Land Transport,False,2025-02-10 13:48:23.089650
1202,Agriculture & Food,Medium Enterprises,Small orders,Air Freight,True,2024-09-25 13:48:23.089797
1203,Electronics,Medium Enterprises,Large orders,Sea Freight,False,2025-02-22 13:48:23.089960
1204,"Textiles & Garments,Handicrafts & Furniture",Small Businesses,Medium orders,Express Delivery,True,2025-06-15 13:48:23.090126
1205,"Petroleum & Energy,Chemicals & Fertilizers,Agriculture & Food",Medium Enterprises,Medium orders,Express Delivery,False,2024-12-06 13:48:23.090282
1206,"Chemicals & Fertilizers,Petroleum & Energy",Small Businesses,Small orders,Air Freight,True,2025-01-08 13:48:23.090433
1207,Handicrafts & Furniture,Startups,Medium orders,Land Transport,False,2025-03-26 13:48:23.090582
1208,Construction & Building Materials,Medium Enterprises,Medium orders,Land Transport,True,2024-11-15 13:48:23.090730
1209,"Textiles & Garments,Electronics,Handicrafts & Furniture",Large Corporations,Bulk orders,Air Freight,True,2024-08-15 13:48:23.090885
1210,Agriculture & Food,Medium Enterprises,Medium orders,Sea Freight,False,2024-09-24 13:48:23.091033
1211,"Construction & Building Materials,Chemicals & Fertilizers,Agriculture & Food",Medium Enterprises,Small orders,Express Delivery,True,2024-08-16 13:48:23.091180
1212,Agriculture & Food,Large Corporations,Medium orders,Sea Freight,False,2024-06-17 13:48:23.091328
1213,"Petroleum & Energy,Agriculture & Food,Construction & Building Materials",Startups,Large orders,Air Freight,False,2024-09-08 13:48:23.091500
1214,"Electronics,Handicrafts & Furniture,Petroleum & Energy",Medium Enterprises,Medium orders,Air Freight,False,2025-04-25 13:48:23.091651
1215,"Agriculture & Food,Handicrafts & Furniture",Medium Enterprises,Medium orders,Sea Freight,True,2025-03-31 13:48:23.091812
1216,"Electronics,Petroleum & Energy",Medium Enterprises,Large orders,Air Freight,True,2025-04-06 13:48:23.091971
1217,"Chemicals & Fertilizers,Electronics,Construction & Building Materials",Medium Enterprises,Small orders,Express Delivery,False,2024-12-25 13:48:23.092125
1218,"Agriculture & Food,Construction & Building Materials",Small Businesses,Medium orders,Express Delivery,True,2025-05-21 13:48:23.092273
1219,Chemicals & Fertilizers,Startups,Bulk orders,Express Delivery,True,2025-01-13 13:48:23.092423
1220,"Agriculture & Food,Electronics,Chemicals & Fertilizers",Startups,Large orders,Sea Freight,True,2025-01-21 13:48:23.092576
1221,"Electronics,Textiles & Garments,Handicrafts & Furniture",Large Corporations,Small orders,Land Transport,False,2024-11-02 13:48:23.092726
1222,Construction & Building Materials,Large Corporations,Bulk orders,Land Transport,False,2025-06-05 13:48:23.092879
1223,"Chemicals & Fertilizers,Petroleum & Energy",Small Businesses,Medium orders,Express Delivery,True,2024-09-26 13:48:23.093027
1224,Construction & Building Materials,Small Businesses,Small orders,Land Transport,True,2024-09-09 13:48:23.093174
1225,"Agriculture & Food,Electronics",Large Corporations,Small orders,Sea Freight,False,2024-10-27 13:48:23.093320
1226,Petroleum & Energy,Medium Enterprises,Small orders,Land Transport,False,2024-09-20 13:48:23.093466
1227,Textiles & Garments,Small Businesses,Bulk orders,Sea Freight,False,2025-04-27 13:48:23.093616
1228,"Agriculture & Food,Electronics,Chemicals & Fertilizers",Medium Enterprises,Medium orders,Land Transport,False,2024-10-01 13:48:23.093766
1229,"Electronics,Construction & Building Materials",Startups,Medium orders,Express Delivery,False,2025-05-11 13:48:23.093925
1230,Handicrafts & Furniture,Medium Enterprises,Small orders,Land Transport,False,2025-06-04 13:48:23.094077
1231,Textiles & Garments,Large Corporations,Bulk orders,Land Transport,False,2025-02-18 13:48:23.094220
1232,Chemicals & Fertilizers,Startups,Medium orders,Sea Freight,False,2024-10-28 13:48:23.094354
1233,Chemicals & Fertilizers,Startups,Small orders,Land Transport,False,2024-10-22 13:48:23.094491
1234,"Handicrafts & Furniture,Construction & Building Materials",Small Businesses,Large orders,Land Transport,False,2024-12-08 13:48:23.094629
