country,founded,id,industry,linkedin_url,locality,name,region,size,website
egypt,2016,egypt_28,electronics,linkedin.com/company/egypt-co-28,luxor,Egyptian Company 28,cairo governorate,11-50,company28.eg
egypt,2009,egypt_29,tourism,linkedin.com/company/egypt-co-29,port said,Egyptian Company 29,port said governorate,201-500,company29.eg
egypt,2002,egypt_30,it services,linkedin.com/company/egypt-co-30,port said,Egyptian Company 30,giza governorate,201-500,company30.eg
egypt,2005,egypt_31,it services,linkedin.com/company/egypt-co-31,alexandria,Egyptian Company 31,alexandria governorate,201-500,company31.eg
egypt,2009,egypt_32,construction,linkedin.com/company/egypt-co-32,port said,Egyptian Company 32,luxor governorate,51-200,company32.eg
egypt,2009,egypt_33,agriculture,linkedin.com/company/egypt-co-33,cairo,Egyptian Company 33,giza governorate,51-200,company33.eg
egypt,2014,egypt_34,it services,linkedin.com/company/egypt-co-34,alexandria,Egyptian Company 34,cairo governorate,1-10,company34.eg
egypt,2003,egypt_35,it services,linkedin.com/company/egypt-co-35,port said,Egyptian Company 35,luxor governorate,11-50,company35.eg
egypt,1996,egypt_36,textiles,linkedin.com/company/egypt-co-36,luxor,Egyptian Company 36,giza governorate,51-200,company36.eg
egypt,1990,egypt_37,agriculture,linkedin.com/company/egypt-co-37,giza,Egyptian Company 37,port said governorate,201-500,company37.eg
egypt,2010,egypt_38,textiles,linkedin.com/company/egypt-co-38,port said,Egyptian Company 38,cairo governorate,1-10,company38.eg
egypt,2001,egypt_39,tourism,linkedin.com/company/egypt-co-39,cairo,Egyptian Company 39,alexandria governorate,11-50,company39.eg
egypt,2017,egypt_40,construction,linkedin.com/company/egypt-co-40,cairo,Egyptian Company 40,giza governorate,11-50,company40.eg
egypt,2013,egypt_41,textiles,linkedin.com/company/egypt-co-41,luxor,Egyptian Company 41,cairo governorate,201-500,company41.eg
egypt,2003,egypt_42,construction,linkedin.com/company/egypt-co-42,cairo,Egyptian Company 42,alexandria governorate,1-10,company42.eg
egypt,2019,egypt_43,it services,linkedin.com/company/egypt-co-43,luxor,Egyptian Company 43,luxor governorate,1-10,company43.eg
egypt,2009,egypt_44,it services,linkedin.com/company/egypt-co-44,giza,Egyptian Company 44,alexandria governorate,1-10,company44.eg
egypt,2015,egypt_45,tourism,linkedin.com/company/egypt-co-45,giza,Egyptian Company 45,cairo governorate,51-200,company45.eg
egypt,2007,egypt_46,textiles,linkedin.com/company/egypt-co-46,luxor,Egyptian Company 46,port said governorate,51-200,company46.eg
egypt,2013,egypt_47,it services,linkedin.com/company/egypt-co-47,port said,Egyptian Company 47,cairo governorate,1-10,company47.eg
egypt,2010,egypt_48,it services,linkedin.com/company/egypt-co-48,giza,Egyptian Company 48,luxor governorate,51-200,company48.eg
egypt,1993,egypt_49,construction,linkedin.com/company/egypt-co-49,port said,Egyptian Company 49,giza governorate,201-500,company49.eg
egypt,1993,egypt_50,agriculture,linkedin.com/company/egypt-co-50,cairo,Egyptian Company 50,alexandria governorate,11-50,company50.eg
egypt,2021,egypt_51,it services,linkedin.com/company/egypt-co-51,giza,Egyptian Company 51,alexandria governorate,201-500,company51.eg
egypt,2003,egypt_52,tourism,linkedin.com/company/egypt-co-52,alexandria,Egyptian Company 52,luxor governorate,11-50,company52.eg
egypt,1990,egypt_53,tourism,linkedin.com/company/egypt-co-53,port said,Egyptian Company 53,luxor governorate,201-500,company53.eg
egypt,2001,egypt_54,agriculture,linkedin.com/company/egypt-co-54,giza,Egyptian Company 54,alexandria governorate,201-500,company54.eg
egypt,2001,egypt_55,it services,linkedin.com/company/egypt-co-55,luxor,Egyptian Company 55,luxor governorate,11-50,company55.eg
egypt,1992,egypt_56,tourism,linkedin.com/company/egypt-co-56,giza,Egyptian Company 56,port said governorate,201-500,company56.eg
egypt,1992,egypt_57,textiles,linkedin.com/company/egypt-co-57,giza,Egyptian Company 57,cairo governorate,201-500,company57.eg
egypt,2002,egypt_58,textiles,linkedin.com/company/egypt-co-58,cairo,Egyptian Company 58,port said governorate,201-500,company58.eg
egypt,2014,egypt_59,textiles,linkedin.com/company/egypt-co-59,giza,Egyptian Company 59,alexandria governorate,11-50,company59.eg
egypt,2017,egypt_60,textiles,linkedin.com/company/egypt-co-60,alexandria,Egyptian Company 60,luxor governorate,201-500,company60.eg
egypt,2005,egypt_61,it services,linkedin.com/company/egypt-co-61,luxor,Egyptian Company 61,luxor governorate,51-200,company61.eg
egypt,1999,egypt_62,tourism,linkedin.com/company/egypt-co-62,port said,Egyptian Company 62,port said governorate,1-10,company62.eg
egypt,2010,egypt_63,tourism,linkedin.com/company/egypt-co-63,luxor,Egyptian Company 63,alexandria governorate,201-500,company63.eg
egypt,2006,egypt_64,it services,linkedin.com/company/egypt-co-64,giza,Egyptian Company 64,cairo governorate,11-50,company64.eg
egypt,2005,egypt_65,electronics,linkedin.com/company/egypt-co-65,cairo,Egyptian Company 65,cairo governorate,1-10,company65.eg
egypt,2003,egypt_66,textiles,linkedin.com/company/egypt-co-66,port said,Egyptian Company 66,cairo governorate,11-50,company66.eg
egypt,2021,egypt_67,it services,linkedin.com/company/egypt-co-67,alexandria,Egyptian Company 67,luxor governorate,201-500,company67.eg
egypt,2005,egypt_68,agriculture,linkedin.com/company/egypt-co-68,alexandria,Egyptian Company 68,alexandria governorate,11-50,company68.eg
egypt,1999,egypt_69,construction,linkedin.com/company/egypt-co-69,luxor,Egyptian Company 69,giza governorate,51-200,company69.eg
egypt,2001,egypt_70,tourism,linkedin.com/company/egypt-co-70,giza,Egyptian Company 70,luxor governorate,11-50,company70.eg
egypt,2017,egypt_71,electronics,linkedin.com/company/egypt-co-71,alexandria,Egyptian Company 71,port said governorate,51-200,company71.eg
egypt,2022,egypt_72,textiles,linkedin.com/company/egypt-co-72,cairo,Egyptian Company 72,cairo governorate,51-200,company72.eg
egypt,1998,egypt_73,construction,linkedin.com/company/egypt-co-73,giza,Egyptian Company 73,luxor governorate,51-200,company73.eg
egypt,2005,egypt_74,electronics,linkedin.com/company/egypt-co-74,alexandria,Egyptian Company 74,port said governorate,1-10,company74.eg
egypt,2018,egypt_75,construction,linkedin.com/company/egypt-co-75,port said,Egyptian Company 75,port said governorate,51-200,company75.eg
egypt,2014,egypt_76,textiles,linkedin.com/company/egypt-co-76,port said,Egyptian Company 76,luxor governorate,201-500,company76.eg
egypt,2004,egypt_77,electronics,linkedin.com/company/egypt-co-77,alexandria,Egyptian Company 77,giza governorate,1-10,company77.eg
egypt,1992,egypt_78,it services,linkedin.com/company/egypt-co-78,luxor,Egyptian Company 78,port said governorate,11-50,company78.eg
egypt,2017,egypt_79,construction,linkedin.com/company/egypt-co-79,giza,Egyptian Company 79,port said governorate,1-10,company79.eg
egypt,1998,egypt_80,tourism,linkedin.com/company/egypt-co-80,alexandria,Egyptian Company 80,cairo governorate,1-10,company80.eg
egypt,2001,egypt_81,construction,linkedin.com/company/egypt-co-81,luxor,Egyptian Company 81,alexandria governorate,11-50,company81.eg
egypt,1990,egypt_82,textiles,linkedin.com/company/egypt-co-82,cairo,Egyptian Company 82,alexandria governorate,11-50,company82.eg
egypt,2014,egypt_83,it services,linkedin.com/company/egypt-co-83,port said,Egyptian Company 83,luxor governorate,201-500,company83.eg
egypt,2013,egypt_84,construction,linkedin.com/company/egypt-co-84,giza,Egyptian Company 84,giza governorate,1-10,company84.eg
egypt,2015,egypt_85,it services,linkedin.com/company/egypt-co-85,luxor,Egyptian Company 85,cairo governorate,1-10,company85.eg
egypt,2006,egypt_86,construction,linkedin.com/company/egypt-co-86,giza,Egyptian Company 86,luxor governorate,51-200,company86.eg
egypt,2003,egypt_87,electronics,linkedin.com/company/egypt-co-87,alexandria,Egyptian Company 87,alexandria governorate,201-500,company87.eg
egypt,1990,egypt_88,textiles,linkedin.com/company/egypt-co-88,luxor,Egyptian Company 88,cairo governorate,11-50,company88.eg
egypt,2006,egypt_89,textiles,linkedin.com/company/egypt-co-89,cairo,Egyptian Company 89,port said governorate,51-200,company89.eg
egypt,2007,egypt_90,it services,linkedin.com/company/egypt-co-90,port said,Egyptian Company 90,cairo governorate,201-500,company90.eg
egypt,2008,egypt_91,textiles,linkedin.com/company/egypt-co-91,port said,Egyptian Company 91,luxor governorate,1-10,company91.eg
egypt,1990,egypt_92,tourism,linkedin.com/company/egypt-co-92,alexandria,Egyptian Company 92,cairo governorate,11-50,company92.eg
egypt,2014,egypt_93,agriculture,linkedin.com/company/egypt-co-93,cairo,Egyptian Company 93,giza governorate,201-500,company93.eg
egypt,1996,egypt_94,construction,linkedin.com/company/egypt-co-94,luxor,Egyptian Company 94,alexandria governorate,201-500,company94.eg
egypt,2007,egypt_95,agriculture,linkedin.com/company/egypt-co-95,alexandria,Egyptian Company 95,luxor governorate,51-200,company95.eg
egypt,2021,egypt_96,textiles,linkedin.com/company/egypt-co-96,port said,Egyptian Company 96,port said governorate,201-500,company96.eg
egypt,2003,egypt_97,it services,linkedin.com/company/egypt-co-97,alexandria,Egyptian Company 97,alexandria governorate,51-200,company97.eg
egypt,1995,egypt_98,textiles,linkedin.com/company/egypt-co-98,luxor,Egyptian Company 98,alexandria governorate,201-500,company98.eg
egypt,1992,egypt_99,tourism,linkedin.com/company/egypt-co-99,cairo,Egyptian Company 99,port said governorate,201-500,company99.eg
egypt,1991,egypt_100,construction,linkedin.com/company/egypt-co-100,alexandria,Egyptian Company 100,alexandria governorate,11-50,company100.eg
egypt,2006,egypt_101,it services,linkedin.com/company/egypt-co-101,giza,Egyptian Company 101,giza governorate,201-500,company101.eg
egypt,2005,egypt_102,it services,linkedin.com/company/egypt-co-102,luxor,Egyptian Company 102,giza governorate,51-200,company102.eg
egypt,2018,egypt_103,agriculture,linkedin.com/company/egypt-co-103,cairo,Egyptian Company 103,luxor governorate,201-500,company103.eg
egypt,2019,egypt_104,tourism,linkedin.com/company/egypt-co-104,port said,Egyptian Company 104,cairo governorate,1-10,company104.eg
egypt,2014,egypt_105,it services,linkedin.com/company/egypt-co-105,port said,Egyptian Company 105,alexandria governorate,51-200,company105.eg
egypt,2013,egypt_106,agriculture,linkedin.com/company/egypt-co-106,cairo,Egyptian Company 106,giza governorate,201-500,company106.eg
egypt,2015,egypt_107,it services,linkedin.com/company/egypt-co-107,port said,Egyptian Company 107,cairo governorate,51-200,company107.eg
egypt,2007,egypt_108,agriculture,linkedin.com/company/egypt-co-108,cairo,Egyptian Company 108,giza governorate,1-10,company108.eg
egypt,2021,egypt_109,textiles,linkedin.com/company/egypt-co-109,alexandria,Egyptian Company 109,alexandria governorate,11-50,company109.eg
egypt,2006,egypt_110,electronics,linkedin.com/company/egypt-co-110,luxor,Egyptian Company 110,giza governorate,51-200,company110.eg
egypt,2006,egypt_111,agriculture,linkedin.com/company/egypt-co-111,luxor,Egyptian Company 111,alexandria governorate,201-500,company111.eg
egypt,1998,egypt_112,textiles,linkedin.com/company/egypt-co-112,giza,Egyptian Company 112,alexandria governorate,201-500,company112.eg
egypt,1992,egypt_113,tourism,linkedin.com/company/egypt-co-113,giza,Egyptian Company 113,giza governorate,11-50,company113.eg
egypt,1994,egypt_114,construction,linkedin.com/company/egypt-co-114,cairo,Egyptian Company 114,luxor governorate,51-200,company114.eg
egypt,2012,egypt_115,electronics,linkedin.com/company/egypt-co-115,luxor,Egyptian Company 115,luxor governorate,11-50,company115.eg
egypt,2020,egypt_116,agriculture,linkedin.com/company/egypt-co-116,giza,Egyptian Company 116,port said governorate,201-500,company116.eg
egypt,2008,egypt_117,it services,linkedin.com/company/egypt-co-117,cairo,Egyptian Company 117,alexandria governorate,1-10,company117.eg
egypt,1996,egypt_118,agriculture,linkedin.com/company/egypt-co-118,cairo,Egyptian Company 118,port said governorate,51-200,company118.eg
egypt,2000,egypt_119,tourism,linkedin.com/company/egypt-co-119,alexandria,Egyptian Company 119,alexandria governorate,201-500,company119.eg
egypt,2022,egypt_120,textiles,linkedin.com/company/egypt-co-120,luxor,Egyptian Company 120,port said governorate,11-50,company120.eg
egypt,2022,egypt_121,tourism,linkedin.com/company/egypt-co-121,cairo,Egyptian Company 121,alexandria governorate,11-50,company121.eg
egypt,2000,egypt_122,electronics,linkedin.com/company/egypt-co-122,alexandria,Egyptian Company 122,alexandria governorate,1-10,company122.eg
egypt,2019,egypt_123,construction,linkedin.com/company/egypt-co-123,alexandria,Egyptian Company 123,port said governorate,1-10,company123.eg
egypt,1999,egypt_124,textiles,linkedin.com/company/egypt-co-124,luxor,Egyptian Company 124,port said governorate,11-50,company124.eg
egypt,1992,egypt_125,agriculture,linkedin.com/company/egypt-co-125,giza,Egyptian Company 125,port said governorate,1-10,company125.eg
egypt,2016,egypt_126,electronics,linkedin.com/company/egypt-co-126,cairo,Egyptian Company 126,alexandria governorate,11-50,company126.eg
egypt,2022,egypt_127,it services,linkedin.com/company/egypt-co-127,cairo,Egyptian Company 127,alexandria governorate,201-500,company127.eg
egypt,2013,egypt_128,textiles,linkedin.com/company/egypt-co-128,cairo,Egyptian Company 128,cairo governorate,1-10,company128.eg
egypt,2020,egypt_129,agriculture,linkedin.com/company/egypt-co-129,luxor,Egyptian Company 129,port said governorate,1-10,company129.eg
egypt,2012,egypt_130,agriculture,linkedin.com/company/egypt-co-130,alexandria,Egyptian Company 130,cairo governorate,51-200,company130.eg
egypt,2007,egypt_131,tourism,linkedin.com/company/egypt-co-131,giza,Egyptian Company 131,cairo governorate,1-10,company131.eg
egypt,2013,egypt_132,agriculture,linkedin.com/company/egypt-co-132,luxor,Egyptian Company 132,cairo governorate,11-50,company132.eg
egypt,2018,egypt_133,construction,linkedin.com/company/egypt-co-133,cairo,Egyptian Company 133,luxor governorate,51-200,company133.eg
egypt,2007,egypt_134,electronics,linkedin.com/company/egypt-co-134,giza,Egyptian Company 134,luxor governorate,201-500,company134.eg
egypt,2007,egypt_135,textiles,linkedin.com/company/egypt-co-135,giza,Egyptian Company 135,alexandria governorate,1-10,company135.eg
egypt,1994,egypt_136,agriculture,linkedin.com/company/egypt-co-136,cairo,Egyptian Company 136,port said governorate,201-500,company136.eg
egypt,2013,egypt_137,construction,linkedin.com/company/egypt-co-137,port said,Egyptian Company 137,luxor governorate,201-500,company137.eg
egypt,2009,egypt_138,agriculture,linkedin.com/company/egypt-co-138,giza,Egyptian Company 138,port said governorate,1-10,company138.eg
egypt,2000,egypt_139,textiles,linkedin.com/company/egypt-co-139,giza,Egyptian Company 139,luxor governorate,51-200,company139.eg
egypt,2018,egypt_140,it services,linkedin.com/company/egypt-co-140,luxor,Egyptian Company 140,giza governorate,11-50,company140.eg
egypt,2016,egypt_141,textiles,linkedin.com/company/egypt-co-141,luxor,Egyptian Company 141,giza governorate,1-10,company141.eg
egypt,2011,egypt_142,construction,linkedin.com/company/egypt-co-142,luxor,Egyptian Company 142,cairo governorate,201-500,company142.eg
egypt,2011,egypt_143,electronics,linkedin.com/company/egypt-co-143,luxor,Egyptian Company 143,cairo governorate,1-10,company143.eg
egypt,2018,egypt_144,electronics,linkedin.com/company/egypt-co-144,giza,Egyptian Company 144,luxor governorate,11-50,company144.eg
egypt,2014,egypt_145,tourism,linkedin.com/company/egypt-co-145,port said,Egyptian Company 145,port said governorate,201-500,company145.eg
egypt,1999,egypt_146,agriculture,linkedin.com/company/egypt-co-146,luxor,Egyptian Company 146,luxor governorate,1-10,company146.eg
egypt,2000,egypt_147,construction,linkedin.com/company/egypt-co-147,luxor,Egyptian Company 147,port said governorate,51-200,company147.eg
egypt,2021,egypt_148,tourism,linkedin.com/company/egypt-co-148,alexandria,Egyptian Company 148,cairo governorate,51-200,company148.eg
egypt,2013,egypt_149,electronics,linkedin.com/company/egypt-co-149,giza,Egyptian Company 149,cairo governorate,1-10,company149.eg
egypt,2018,egypt_150,it services,linkedin.com/company/egypt-co-150,luxor,Egyptian Company 150,giza governorate,51-200,company150.eg
egypt,2013,egypt_151,tourism,linkedin.com/company/egypt-co-151,cairo,Egyptian Company 151,port said governorate,1-10,company151.eg
egypt,2001,egypt_152,tourism,linkedin.com/company/egypt-co-152,port said,Egyptian Company 152,cairo governorate,51-200,company152.eg
egypt,1994,egypt_153,textiles,linkedin.com/company/egypt-co-153,luxor,Egyptian Company 153,port said governorate,11-50,company153.eg
egypt,1998,egypt_154,electronics,linkedin.com/company/egypt-co-154,giza,Egyptian Company 154,cairo governorate,51-200,company154.eg
egypt,1998,egypt_155,textiles,linkedin.com/company/egypt-co-155,luxor,Egyptian Company 155,giza governorate,1-10,company155.eg
egypt,1993,egypt_156,agriculture,linkedin.com/company/egypt-co-156,cairo,Egyptian Company 156,alexandria governorate,1-10,company156.eg
egypt,2019,egypt_157,it services,linkedin.com/company/egypt-co-157,port said,Egyptian Company 157,alexandria governorate,11-50,company157.eg
egypt,2007,egypt_158,textiles,linkedin.com/company/egypt-co-158,alexandria,Egyptian Company 158,giza governorate,11-50,company158.eg
egypt,2012,egypt_159,textiles,linkedin.com/company/egypt-co-159,cairo,Egyptian Company 159,port said governorate,11-50,company159.eg
egypt,2011,egypt_160,textiles,linkedin.com/company/egypt-co-160,giza,Egyptian Company 160,luxor governorate,201-500,company160.eg
egypt,2019,egypt_161,construction,linkedin.com/company/egypt-co-161,giza,Egyptian Company 161,cairo governorate,11-50,company161.eg
egypt,1992,egypt_162,electronics,linkedin.com/company/egypt-co-162,port said,Egyptian Company 162,cairo governorate,1-10,company162.eg
egypt,2016,egypt_163,textiles,linkedin.com/company/egypt-co-163,port said,Egyptian Company 163,alexandria governorate,11-50,company163.eg
egypt,2012,egypt_164,tourism,linkedin.com/company/egypt-co-164,alexandria,Egyptian Company 164,cairo governorate,51-200,company164.eg
egypt,2017,egypt_165,construction,linkedin.com/company/egypt-co-165,alexandria,Egyptian Company 165,giza governorate,11-50,company165.eg
egypt,2016,egypt_166,it services,linkedin.com/company/egypt-co-166,alexandria,Egyptian Company 166,alexandria governorate,51-200,company166.eg
egypt,2002,egypt_167,textiles,linkedin.com/company/egypt-co-167,alexandria,Egyptian Company 167,alexandria governorate,51-200,company167.eg
egypt,2004,egypt_168,agriculture,linkedin.com/company/egypt-co-168,giza,Egyptian Company 168,port said governorate,201-500,company168.eg
egypt,1994,egypt_169,it services,linkedin.com/company/egypt-co-169,port said,Egyptian Company 169,alexandria governorate,11-50,company169.eg
egypt,1991,egypt_170,electronics,linkedin.com/company/egypt-co-170,giza,Egyptian Company 170,alexandria governorate,201-500,company170.eg
egypt,1991,egypt_171,tourism,linkedin.com/company/egypt-co-171,cairo,Egyptian Company 171,luxor governorate,51-200,company171.eg
egypt,2011,egypt_172,it services,linkedin.com/company/egypt-co-172,cairo,Egyptian Company 172,cairo governorate,11-50,company172.eg
egypt,2014,egypt_173,construction,linkedin.com/company/egypt-co-173,giza,Egyptian Company 173,luxor governorate,11-50,company173.eg
egypt,2008,egypt_174,construction,linkedin.com/company/egypt-co-174,port said,Egyptian Company 174,port said governorate,1-10,company174.eg
egypt,2019,egypt_175,it services,linkedin.com/company/egypt-co-175,cairo,Egyptian Company 175,cairo governorate,51-200,company175.eg
egypt,2009,egypt_176,it services,linkedin.com/company/egypt-co-176,luxor,Egyptian Company 176,luxor governorate,11-50,company176.eg
egypt,2008,egypt_177,construction,linkedin.com/company/egypt-co-177,giza,Egyptian Company 177,luxor governorate,201-500,company177.eg
egypt,2007,egypt_178,construction,linkedin.com/company/egypt-co-178,luxor,Egyptian Company 178,cairo governorate,51-200,company178.eg
egypt,2011,egypt_179,agriculture,linkedin.com/company/egypt-co-179,cairo,Egyptian Company 179,giza governorate,201-500,company179.eg
egypt,2018,egypt_180,agriculture,linkedin.com/company/egypt-co-180,alexandria,Egyptian Company 180,cairo governorate,1-10,company180.eg
egypt,2009,egypt_181,construction,linkedin.com/company/egypt-co-181,giza,Egyptian Company 181,cairo governorate,1-10,company181.eg
egypt,1990,egypt_182,electronics,linkedin.com/company/egypt-co-182,port said,Egyptian Company 182,giza governorate,51-200,company182.eg
egypt,1998,egypt_183,tourism,linkedin.com/company/egypt-co-183,port said,Egyptian Company 183,cairo governorate,201-500,company183.eg
egypt,1991,egypt_184,construction,linkedin.com/company/egypt-co-184,port said,Egyptian Company 184,giza governorate,1-10,company184.eg
egypt,1990,egypt_185,agriculture,linkedin.com/company/egypt-co-185,cairo,Egyptian Company 185,port said governorate,201-500,company185.eg
egypt,2011,egypt_186,construction,linkedin.com/company/egypt-co-186,luxor,Egyptian Company 186,giza governorate,51-200,company186.eg
egypt,1997,egypt_187,construction,linkedin.com/company/egypt-co-187,cairo,Egyptian Company 187,port said governorate,201-500,company187.eg
egypt,2021,egypt_188,electronics,linkedin.com/company/egypt-co-188,luxor,Egyptian Company 188,giza governorate,201-500,company188.eg
egypt,1995,egypt_189,construction,linkedin.com/company/egypt-co-189,port said,Egyptian Company 189,giza governorate,11-50,company189.eg
egypt,2010,egypt_190,electronics,linkedin.com/company/egypt-co-190,giza,Egyptian Company 190,cairo governorate,51-200,company190.eg
egypt,2021,egypt_191,tourism,linkedin.com/company/egypt-co-191,luxor,Egyptian Company 191,port said governorate,51-200,company191.eg
egypt,2004,egypt_192,agriculture,linkedin.com/company/egypt-co-192,alexandria,Egyptian Company 192,cairo governorate,1-10,company192.eg
egypt,2017,egypt_193,it services,linkedin.com/company/egypt-co-193,luxor,Egyptian Company 193,alexandria governorate,1-10,company193.eg
egypt,1993,egypt_194,tourism,linkedin.com/company/egypt-co-194,cairo,Egyptian Company 194,cairo governorate,1-10,company194.eg
egypt,1996,egypt_195,construction,linkedin.com/company/egypt-co-195,alexandria,Egyptian Company 195,port said governorate,11-50,company195.eg
egypt,2010,egypt_196,electronics,linkedin.com/company/egypt-co-196,port said,Egyptian Company 196,luxor governorate,201-500,company196.eg
egypt,1993,egypt_197,it services,linkedin.com/company/egypt-co-197,giza,Egyptian Company 197,alexandria governorate,11-50,company197.eg
egypt,2002,egypt_198,it services,linkedin.com/company/egypt-co-198,giza,Egyptian Company 198,alexandria governorate,11-50,company198.eg
egypt,2000,egypt_199,agriculture,linkedin.com/company/egypt-co-199,alexandria,Egyptian Company 199,giza governorate,1-10,company199.eg
egypt,2019,egypt_200,agriculture,linkedin.com/company/egypt-co-200,port said,Egyptian Company 200,alexandria governorate,11-50,company200.eg
egypt,2014,egypt_201,textiles,linkedin.com/company/egypt-co-201,port said,Egyptian Company 201,port said governorate,51-200,company201.eg
egypt,2015,egypt_202,it services,linkedin.com/company/egypt-co-202,alexandria,Egyptian Company 202,port said governorate,51-200,company202.eg
egypt,1990,egypt_203,agriculture,linkedin.com/company/egypt-co-203,luxor,Egyptian Company 203,port said governorate,1-10,company203.eg
egypt,2016,egypt_204,textiles,linkedin.com/company/egypt-co-204,cairo,Egyptian Company 204,giza governorate,201-500,company204.eg
egypt,2014,egypt_205,agriculture,linkedin.com/company/egypt-co-205,cairo,Egyptian Company 205,port said governorate,11-50,company205.eg
egypt,2008,egypt_206,agriculture,linkedin.com/company/egypt-co-206,luxor,Egyptian Company 206,cairo governorate,51-200,company206.eg
egypt,2022,egypt_207,electronics,linkedin.com/company/egypt-co-207,cairo,Egyptian Company 207,luxor governorate,11-50,company207.eg
egypt,1993,egypt_208,it services,linkedin.com/company/egypt-co-208,luxor,Egyptian Company 208,giza governorate,11-50,company208.eg
egypt,1998,egypt_209,construction,linkedin.com/company/egypt-co-209,giza,Egyptian Company 209,luxor governorate,1-10,company209.eg
egypt,1992,egypt_210,construction,linkedin.com/company/egypt-co-210,alexandria,Egyptian Company 210,port said governorate,11-50,company210.eg
egypt,2013,egypt_211,it services,linkedin.com/company/egypt-co-211,alexandria,Egyptian Company 211,luxor governorate,1-10,company211.eg
egypt,2021,egypt_212,it services,linkedin.com/company/egypt-co-212,cairo,Egyptian Company 212,alexandria governorate,11-50,company212.eg
egypt,2013,egypt_213,construction,linkedin.com/company/egypt-co-213,cairo,Egyptian Company 213,alexandria governorate,1-10,company213.eg
egypt,2007,egypt_214,electronics,linkedin.com/company/egypt-co-214,port said,Egyptian Company 214,cairo governorate,11-50,company214.eg
egypt,2002,egypt_215,construction,linkedin.com/company/egypt-co-215,port said,Egyptian Company 215,alexandria governorate,11-50,company215.eg
