UserID,Age,City,Occupation,PrimaryInterests,BudgetRange,PreferredSupplierType,JoinedDate,IsActive
user_41,56+,Tanta,Business Owner,"Textiles & Garments,Agriculture & Food",100K-500K EGP,Medium Enterprises,2025-06-16,False
user_42,56+,Damanhur,Entrepreneur,"Tourism & Hospitality,Manufacturing,Technology",50K-100K EGP,Medium Enterprises,2025-06-16,False
user_43,36-45,Mansoura,Engineer,"Manufacturing,Education",100K-500K EGP,Any Size,2025-06-16,True
user_44,18-25,Suez,Entrepreneur,"Healthcare & Pharmaceuticals,Tourism & Hospitality,Technology,Construction & Real Estate",500K+ EGP,Medium Enterprises,2025-06-16,True
user_45,26-35,Tanta,Sales,"Retail & Commerce,Healthcare & Pharmaceuticals,Education",500K+ EGP,Large Corporations,2025-06-16,True
user_46,18-25,Damanhur,Manager,"Manufacturing,Education,Healthcare & Pharmaceuticals",500K+ EGP,Large Corporations,2025-06-16,True
user_47,36-45,Luxor,Manager,"Education,Healthcare & Pharmaceuticals,Manufacturing,Financial Services",50K-100K EGP,Small Businesses,2025-06-16,False
user_48,46-55,Port Said,Sales,"Transportation & Logistics,Textiles & Garments,Financial Services,Construction & Real Estate",50K-100K EGP,Small Businesses,2025-06-16,True
user_49,46-55,Alexandria,Student,"Agriculture & Food,Manufacturing",100K-500K EGP,Large Corporations,2025-06-16,True
user_50,18-25,Port Said,Entrepreneur,"Transportation & Logistics,Technology,Construction & Real Estate,Manufacturing",10K-50K EGP,Large Corporations,2025-06-16,True
user_51,18-25,Luxor,Doctor,"Transportation & Logistics,Textiles & Garments,Energy & Utilities,Agriculture & Food",100K-500K EGP,Medium Enterprises,2025-06-16,True
user_52,36-45,Cairo,Sales,"Financial Services,Textiles & Garments,Education",500K+ EGP,Any Size,2025-06-16,False
user_53,56+,Giza,Sales,"Financial Services,Energy & Utilities",10K-50K EGP,Any Size,2025-06-16,False
user_54,36-45,Zagazig,Marketing,"Textiles & Garments,Transportation & Logistics,Financial Services,Energy & Utilities",500K+ EGP,Medium Enterprises,2025-06-16,True
user_55,26-35,Zagazig,Doctor,"Tourism & Hospitality,Technology,Agriculture & Food",<10K EGP,Small Businesses,2025-06-16,False
user_56,36-45,Alexandria,Business Owner,"Textiles & Garments,Education,Healthcare & Pharmaceuticals",100K-500K EGP,Small Businesses,2025-06-16,False
user_57,56+,Cairo,Other,"Education,Retail & Commerce,Transportation & Logistics",50K-100K EGP,Large Corporations,2025-06-16,True
user_58,26-35,Cairo,Manager,"Construction & Real Estate,Tourism & Hospitality,Agriculture & Food,Manufacturing",100K-500K EGP,Large Corporations,2025-06-16,True
user_59,46-55,Cairo,Manager,"Education,Construction & Real Estate",50K-100K EGP,Large Corporations,2025-06-16,True
user_60,26-35,Port Said,Marketing,"Transportation & Logistics,Energy & Utilities,Retail & Commerce,Education",500K+ EGP,Medium Enterprises,2025-06-16,True
user_61,56+,Giza,Entrepreneur,"Manufacturing,Financial Services,Construction & Real Estate",500K+ EGP,Medium Enterprises,2025-06-16,False
user_62,26-35,Suez,Marketing,"Tourism & Hospitality,Energy & Utilities,Manufacturing,Education",10K-50K EGP,Large Corporations,2025-06-16,True
user_63,56+,Luxor,Teacher,"Education,Energy & Utilities,Construction & Real Estate",500K+ EGP,Small Businesses,2025-06-16,True
user_64,56+,Port Said,Sales,"Retail & Commerce,Manufacturing,Technology,Transportation & Logistics",100K-500K EGP,Any Size,2025-06-16,True
user_65,36-45,Mansoura,Business Owner,"Financial Services,Agriculture & Food,Transportation & Logistics,Tourism & Hospitality",100K-500K EGP,Small Businesses,2025-06-16,True
user_66,36-45,Damanhur,Other,"Healthcare & Pharmaceuticals,Transportation & Logistics",100K-500K EGP,Large Corporations,2025-06-16,True
user_67,18-25,Mansoura,Business Owner,"Education,Agriculture & Food,Financial Services,Technology",10K-50K EGP,Any Size,2025-06-16,True
user_68,26-35,Aswan,Manager,"Transportation & Logistics,Technology,Tourism & Hospitality,Construction & Real Estate",50K-100K EGP,Large Corporations,2025-06-16,False
user_69,36-45,Cairo,Manager,"Financial Services,Education,Manufacturing,Construction & Real Estate",10K-50K EGP,Any Size,2025-06-16,True
user_70,46-55,Damanhur,Marketing,"Education,Energy & Utilities,Transportation & Logistics",<10K EGP,Any Size,2025-06-16,True
user_71,26-35,Luxor,Engineer,"Tourism & Hospitality,Manufacturing,Energy & Utilities",50K-100K EGP,Any Size,2025-06-16,True
user_72,36-45,Aswan,Teacher,"Manufacturing,Financial Services",50K-100K EGP,Large Corporations,2025-06-16,True
user_73,36-45,Aswan,Entrepreneur,"Agriculture & Food,Retail & Commerce",500K+ EGP,Any Size,2025-06-16,True
user_74,18-25,Aswan,Business Owner,"Education,Textiles & Garments,Tourism & Hospitality,Agriculture & Food",50K-100K EGP,Any Size,2025-06-16,False
user_75,36-45,Aswan,Entrepreneur,"Agriculture & Food,Education,Retail & Commerce",<10K EGP,Medium Enterprises,2025-06-16,True
user_76,46-55,Tanta,Student,"Manufacturing,Agriculture & Food,Energy & Utilities",10K-50K EGP,Medium Enterprises,2025-06-16,True
user_77,26-35,Ismailia,Business Owner,"Retail & Commerce,Agriculture & Food,Manufacturing,Healthcare & Pharmaceuticals",<10K EGP,Small Businesses,2025-06-16,False
user_78,46-55,Giza,Business Owner,"Energy & Utilities,Transportation & Logistics",50K-100K EGP,Small Businesses,2025-06-16,False
user_79,36-45,Aswan,Other,"Healthcare & Pharmaceuticals,Manufacturing",100K-500K EGP,Any Size,2025-06-16,False
user_80,56+,Ismailia,Engineer,"Energy & Utilities,Technology,Healthcare & Pharmaceuticals",10K-50K EGP,Any Size,2025-06-16,False
user_81,36-45,Zagazig,Student,"Retail & Commerce,Education,Textiles & Garments,Agriculture & Food",10K-50K EGP,Any Size,2025-06-16,True
user_82,56+,Zagazig,Business Owner,"Technology,Transportation & Logistics,Manufacturing,Textiles & Garments",100K-500K EGP,Small Businesses,2025-06-16,True
user_83,56+,Damanhur,Marketing,"Education,Textiles & Garments,Manufacturing,Retail & Commerce",<10K EGP,Small Businesses,2025-06-16,True
user_84,26-35,Alexandria,Other,"Energy & Utilities,Financial Services,Education",<10K EGP,Small Businesses,2025-06-16,True
user_85,36-45,Damanhur,Teacher,"Technology,Construction & Real Estate,Textiles & Garments,Tourism & Hospitality",50K-100K EGP,Large Corporations,2025-06-16,False
user_86,56+,Zagazig,Other,"Construction & Real Estate,Technology",50K-100K EGP,Any Size,2025-06-16,True
user_87,18-25,Damanhur,Marketing,"Tourism & Hospitality,Manufacturing",100K-500K EGP,Medium Enterprises,2025-06-16,True
user_88,36-45,Suez,Doctor,"Transportation & Logistics,Manufacturing",500K+ EGP,Large Corporations,2025-06-16,True
user_89,18-25,Damanhur,Doctor,"Retail & Commerce,Agriculture & Food",50K-100K EGP,Medium Enterprises,2025-06-16,False
user_90,26-35,Suez,Entrepreneur,"Retail & Commerce,Construction & Real Estate",50K-100K EGP,Any Size,2025-06-16,True
user_91,56+,Ismailia,Entrepreneur,"Healthcare & Pharmaceuticals,Transportation & Logistics",100K-500K EGP,Large Corporations,2025-06-16,True
user_92,18-25,Giza,Teacher,"Construction & Real Estate,Textiles & Garments",<10K EGP,Small Businesses,2025-06-16,True
user_93,36-45,Damanhur,Manager,"Healthcare & Pharmaceuticals,Construction & Real Estate,Transportation & Logistics",10K-50K EGP,Large Corporations,2025-06-16,True
user_94,46-55,Cairo,Doctor,"Retail & Commerce,Textiles & Garments",<10K EGP,Small Businesses,2025-06-16,False
user_95,18-25,Cairo,Doctor,"Retail & Commerce,Manufacturing,Financial Services,Healthcare & Pharmaceuticals",10K-50K EGP,Any Size,2025-06-16,True
user_96,46-55,Tanta,Business Owner,"Textiles & Garments,Tourism & Hospitality,Financial Services",10K-50K EGP,Small Businesses,2025-06-16,True
user_97,36-45,Damanhur,Sales,"Transportation & Logistics,Textiles & Garments",100K-500K EGP,Small Businesses,2025-06-16,True
user_98,46-55,Port Said,Entrepreneur,"Tourism & Hospitality,Construction & Real Estate,Healthcare & Pharmaceuticals",100K-500K EGP,Medium Enterprises,2025-06-16,True
user_99,46-55,Tanta,Marketing,"Financial Services,Transportation & Logistics,Retail & Commerce",100K-500K EGP,Small Businesses,2025-06-16,True
user_100,56+,Luxor,Marketing,"Textiles & Garments,Tourism & Hospitality",100K-500K EGP,Large Corporations,2025-06-16,True
user_101,56+,Suez,Sales,"Technology,Education,Textiles & Garments,Transportation & Logistics",100K-500K EGP,Any Size,2025-06-16,True
user_102,26-35,Alexandria,Manager,"Financial Services,Education,Healthcare & Pharmaceuticals,Technology",10K-50K EGP,Any Size,2025-06-16,True
user_103,56+,Zagazig,Other,"Financial Services,Textiles & Garments",<10K EGP,Large Corporations,2025-06-16,True
user_104,18-25,Cairo,Business Owner,"Energy & Utilities,Textiles & Garments,Financial Services",100K-500K EGP,Small Businesses,2025-06-16,False
user_105,46-55,Giza,Other,"Tourism & Hospitality,Transportation & Logistics",50K-100K EGP,Any Size,2025-06-16,True
user_106,18-25,Alexandria,Doctor,"Energy & Utilities,Manufacturing,Transportation & Logistics,Tourism & Hospitality",50K-100K EGP,Medium Enterprises,2025-06-16,True
user_107,18-25,Luxor,Engineer,"Manufacturing,Financial Services",500K+ EGP,Any Size,2025-06-16,True
user_108,46-55,Zagazig,Engineer,"Construction & Real Estate,Education",<10K EGP,Large Corporations,2025-06-16,True
user_109,26-35,Luxor,Student,"Education,Energy & Utilities,Retail & Commerce,Textiles & Garments",10K-50K EGP,Medium Enterprises,2025-06-16,True
user_110,46-55,Suez,Marketing,"Financial Services,Manufacturing",100K-500K EGP,Medium Enterprises,2025-06-16,True
user_111,18-25,Suez,Teacher,"Education,Agriculture & Food,Construction & Real Estate,Retail & Commerce",500K+ EGP,Large Corporations,2025-06-16,True
user_112,36-45,Port Said,Business Owner,"Financial Services,Textiles & Garments,Transportation & Logistics",10K-50K EGP,Medium Enterprises,2025-06-16,True
user_113,36-45,Suez,Doctor,"Construction & Real Estate,Manufacturing",100K-500K EGP,Any Size,2025-06-16,True
user_114,46-55,Ismailia,Manager,"Transportation & Logistics,Construction & Real Estate,Financial Services,Agriculture & Food",50K-100K EGP,Small Businesses,2025-06-16,False
user_115,56+,Suez,Sales,"Construction & Real Estate,Financial Services,Manufacturing",10K-50K EGP,Large Corporations,2025-06-16,True
user_116,36-45,Port Said,Engineer,"Tourism & Hospitality,Education,Transportation & Logistics,Energy & Utilities",500K+ EGP,Medium Enterprises,2025-06-16,True
user_117,26-35,Cairo,Manager,"Transportation & Logistics,Financial Services,Agriculture & Food",500K+ EGP,Large Corporations,2025-06-16,True
user_118,46-55,Tanta,Teacher,"Energy & Utilities,Healthcare & Pharmaceuticals,Agriculture & Food",500K+ EGP,Large Corporations,2025-06-16,True
user_119,56+,Damanhur,Sales,"Energy & Utilities,Agriculture & Food",500K+ EGP,Any Size,2025-06-16,False
user_120,26-35,Zagazig,Entrepreneur,"Manufacturing,Healthcare & Pharmaceuticals",50K-100K EGP,Any Size,2025-06-16,False
user_121,46-55,Ismailia,Entrepreneur,"Textiles & Garments,Healthcare & Pharmaceuticals",500K+ EGP,Small Businesses,2025-06-16,True
user_122,36-45,Port Said,Student,"Technology,Transportation & Logistics,Financial Services",<10K EGP,Small Businesses,2025-06-16,True
user_123,36-45,Giza,Other,"Textiles & Garments,Agriculture & Food,Manufacturing",<10K EGP,Small Businesses,2025-06-16,True
user_124,18-25,Cairo,Business Owner,"Textiles & Garments,Energy & Utilities",100K-500K EGP,Large Corporations,2025-06-16,False
user_125,36-45,Cairo,Other,"Tourism & Hospitality,Transportation & Logistics",10K-50K EGP,Large Corporations,2025-06-16,True
user_126,26-35,Tanta,Marketing,"Technology,Financial Services",<10K EGP,Large Corporations,2025-06-16,True
user_127,26-35,Mansoura,Other,"Financial Services,Transportation & Logistics,Construction & Real Estate,Retail & Commerce",<10K EGP,Medium Enterprises,2025-06-16,False
user_128,36-45,Tanta,Entrepreneur,"Transportation & Logistics,Construction & Real Estate",10K-50K EGP,Any Size,2025-06-16,False
user_129,46-55,Giza,Sales,"Technology,Financial Services",50K-100K EGP,Any Size,2025-06-16,True
user_130,36-45,Luxor,Student,"Construction & Real Estate,Education,Retail & Commerce,Textiles & Garments",50K-100K EGP,Medium Enterprises,2025-06-16,True
user_131,18-25,Port Said,Entrepreneur,"Financial Services,Retail & Commerce,Agriculture & Food,Energy & Utilities",100K-500K EGP,Large Corporations,2025-06-16,False
user_132,18-25,Damanhur,Doctor,"Construction & Real Estate,Healthcare & Pharmaceuticals",<10K EGP,Medium Enterprises,2025-06-16,True
user_133,56+,Tanta,Student,"Tourism & Hospitality,Agriculture & Food,Manufacturing,Technology",<10K EGP,Large Corporations,2025-06-16,True
user_134,56+,Suez,Engineer,"Manufacturing,Financial Services,Agriculture & Food,Healthcare & Pharmaceuticals",10K-50K EGP,Any Size,2025-06-16,True
user_135,36-45,Zagazig,Sales,"Technology,Construction & Real Estate,Transportation & Logistics",500K+ EGP,Large Corporations,2025-06-16,True
user_136,46-55,Aswan,Other,"Retail & Commerce,Textiles & Garments,Technology",100K-500K EGP,Large Corporations,2025-06-16,True
user_137,18-25,Tanta,Marketing,"Textiles & Garments,Financial Services",<10K EGP,Small Businesses,2025-06-16,False
user_138,56+,Ismailia,Sales,"Healthcare & Pharmaceuticals,Education,Textiles & Garments",50K-100K EGP,Large Corporations,2025-06-16,True
user_139,26-35,Mansoura,Engineer,"Construction & Real Estate,Manufacturing,Transportation & Logistics,Education",50K-100K EGP,Large Corporations,2025-06-16,False
user_140,36-45,Aswan,Engineer,"Agriculture & Food,Technology",50K-100K EGP,Medium Enterprises,2025-06-16,False
user_141,56+,Ismailia,Teacher,"Retail & Commerce,Agriculture & Food",50K-100K EGP,Large Corporations,2025-06-16,True
user_142,36-45,Mansoura,Teacher,"Education,Textiles & Garments,Retail & Commerce,Transportation & Logistics",500K+ EGP,Any Size,2025-06-16,True
user_143,56+,Port Said,Entrepreneur,"Retail & Commerce,Financial Services,Energy & Utilities,Agriculture & Food",10K-50K EGP,Any Size,2025-06-16,True
user_144,56+,Tanta,Doctor,"Education,Technology,Manufacturing,Healthcare & Pharmaceuticals",500K+ EGP,Large Corporations,2025-06-16,True
user_145,46-55,Ismailia,Marketing,"Transportation & Logistics,Education,Energy & Utilities,Tourism & Hospitality",<10K EGP,Medium Enterprises,2025-06-16,True
user_146,56+,Mansoura,Student,"Manufacturing,Healthcare & Pharmaceuticals,Energy & Utilities",<10K EGP,Small Businesses,2025-06-16,True
user_147,26-35,Tanta,Manager,"Technology,Tourism & Hospitality,Textiles & Garments,Manufacturing",100K-500K EGP,Large Corporations,2025-06-16,True
user_148,36-45,Alexandria,Manager,"Construction & Real Estate,Energy & Utilities,Financial Services",10K-50K EGP,Any Size,2025-06-16,False
user_149,56+,Aswan,Manager,"Energy & Utilities,Healthcare & Pharmaceuticals",<10K EGP,Large Corporations,2025-06-16,True
user_150,56+,Damanhur,Business Owner,"Construction & Real Estate,Manufacturing,Financial Services,Textiles & Garments",50K-100K EGP,Any Size,2025-06-16,True
user_151,56+,Mansoura,Business Owner,"Tourism & Hospitality,Education,Financial Services",50K-100K EGP,Small Businesses,2025-06-16,True
user_152,46-55,Aswan,Manager,"Technology,Healthcare & Pharmaceuticals",50K-100K EGP,Small Businesses,2025-06-16,False
user_153,18-25,Mansoura,Other,"Healthcare & Pharmaceuticals,Transportation & Logistics,Education",<10K EGP,Medium Enterprises,2025-06-16,True
user_154,56+,Alexandria,Business Owner,"Retail & Commerce,Tourism & Hospitality,Textiles & Garments",<10K EGP,Medium Enterprises,2025-06-16,True
user_155,56+,Port Said,Doctor,"Transportation & Logistics,Agriculture & Food,Textiles & Garments",10K-50K EGP,Any Size,2025-06-16,True
user_156,46-55,Alexandria,Entrepreneur,"Technology,Retail & Commerce,Transportation & Logistics,Tourism & Hospitality",10K-50K EGP,Any Size,2025-06-16,True
user_157,56+,Alexandria,Student,"Tourism & Hospitality,Financial Services",50K-100K EGP,Medium Enterprises,2025-06-16,True
user_158,26-35,Port Said,Sales,"Textiles & Garments,Financial Services",100K-500K EGP,Large Corporations,2025-06-16,True
user_159,26-35,Ismailia,Entrepreneur,"Education,Energy & Utilities,Financial Services,Textiles & Garments",100K-500K EGP,Medium Enterprises,2025-06-16,True
user_160,26-35,Damanhur,Teacher,"Retail & Commerce,Technology,Financial Services",100K-500K EGP,Small Businesses,2025-06-16,True
user_161,26-35,Ismailia,Student,"Tourism & Hospitality,Agriculture & Food",500K+ EGP,Small Businesses,2025-06-16,False
user_162,36-45,Luxor,Manager,"Manufacturing,Transportation & Logistics,Healthcare & Pharmaceuticals,Agriculture & Food",10K-50K EGP,Large Corporations,2025-06-16,False
user_163,46-55,Luxor,Doctor,"Energy & Utilities,Technology,Agriculture & Food",100K-500K EGP,Small Businesses,2025-06-16,True
user_164,56+,Mansoura,Engineer,"Manufacturing,Construction & Real Estate",100K-500K EGP,Small Businesses,2025-06-16,True
user_165,56+,Mansoura,Teacher,"Manufacturing,Healthcare & Pharmaceuticals,Technology,Agriculture & Food",50K-100K EGP,Small Businesses,2025-06-16,False
user_166,46-55,Luxor,Business Owner,"Healthcare & Pharmaceuticals,Technology,Retail & Commerce",100K-500K EGP,Any Size,2025-06-16,True
user_167,46-55,Damanhur,Entrepreneur,"Financial Services,Manufacturing",100K-500K EGP,Medium Enterprises,2025-06-16,True
user_168,56+,Giza,Teacher,"Energy & Utilities,Construction & Real Estate",100K-500K EGP,Any Size,2025-06-16,False
user_169,36-45,Suez,Manager,"Construction & Real Estate,Tourism & Hospitality,Financial Services,Agriculture & Food",100K-500K EGP,Any Size,2025-06-16,True
user_170,46-55,Mansoura,Other,"Retail & Commerce,Textiles & Garments,Education",<10K EGP,Any Size,2025-06-16,True
user_171,36-45,Tanta,Other,"Agriculture & Food,Retail & Commerce,Transportation & Logistics,Technology",10K-50K EGP,Any Size,2025-06-16,True
user_172,36-45,Zagazig,Marketing,"Tourism & Hospitality,Technology,Agriculture & Food,Healthcare & Pharmaceuticals",10K-50K EGP,Small Businesses,2025-06-16,False
user_173,18-25,Cairo,Student,"Transportation & Logistics,Tourism & Hospitality",10K-50K EGP,Any Size,2025-06-16,False
user_174,18-25,Zagazig,Business Owner,"Textiles & Garments,Tourism & Hospitality,Energy & Utilities",<10K EGP,Medium Enterprises,2025-06-16,True
user_175,56+,Port Said,Marketing,"Energy & Utilities,Retail & Commerce",50K-100K EGP,Any Size,2025-06-16,False
user_176,36-45,Zagazig,Entrepreneur,"Agriculture & Food,Education,Tourism & Hospitality,Transportation & Logistics",500K+ EGP,Any Size,2025-06-16,False
user_177,26-35,Giza,Engineer,"Healthcare & Pharmaceuticals,Agriculture & Food,Financial Services,Energy & Utilities",500K+ EGP,Small Businesses,2025-06-16,False
user_178,46-55,Zagazig,Manager,"Construction & Real Estate,Technology,Manufacturing,Healthcare & Pharmaceuticals",50K-100K EGP,Large Corporations,2025-06-16,False
user_179,56+,Giza,Sales,"Tourism & Hospitality,Transportation & Logistics,Education,Retail & Commerce",50K-100K EGP,Small Businesses,2025-06-16,True
user_180,56+,Aswan,Student,"Retail & Commerce,Agriculture & Food",10K-50K EGP,Any Size,2025-06-16,True
user_181,46-55,Aswan,Doctor,"Energy & Utilities,Transportation & Logistics,Agriculture & Food",500K+ EGP,Medium Enterprises,2025-06-16,True
user_182,26-35,Port Said,Manager,"Construction & Real Estate,Healthcare & Pharmaceuticals,Transportation & Logistics",50K-100K EGP,Small Businesses,2025-06-16,False
user_183,56+,Luxor,Manager,"Construction & Real Estate,Manufacturing,Energy & Utilities",50K-100K EGP,Small Businesses,2025-06-16,True
user_184,46-55,Zagazig,Engineer,"Healthcare & Pharmaceuticals,Technology",10K-50K EGP,Medium Enterprises,2025-06-16,True
user_185,18-25,Alexandria,Doctor,"Transportation & Logistics,Education,Financial Services,Healthcare & Pharmaceuticals",<10K EGP,Any Size,2025-06-16,True
user_186,46-55,Mansoura,Student,"Retail & Commerce,Technology",500K+ EGP,Large Corporations,2025-06-16,True
user_187,46-55,Luxor,Teacher,"Transportation & Logistics,Technology,Manufacturing",50K-100K EGP,Any Size,2025-06-16,True
user_188,46-55,Damanhur,Sales,"Construction & Real Estate,Technology,Textiles & Garments",<10K EGP,Small Businesses,2025-06-16,True
user_189,26-35,Aswan,Marketing,"Construction & Real Estate,Textiles & Garments",50K-100K EGP,Large Corporations,2025-06-16,True
user_190,46-55,Aswan,Sales,"Construction & Real Estate,Retail & Commerce",10K-50K EGP,Large Corporations,2025-06-16,True
user_191,18-25,Damanhur,Engineer,"Energy & Utilities,Financial Services",100K-500K EGP,Large Corporations,2025-06-16,True
user_192,26-35,Zagazig,Sales,"Retail & Commerce,Healthcare & Pharmaceuticals",10K-50K EGP,Medium Enterprises,2025-06-16,True
user_193,46-55,Damanhur,Teacher,"Energy & Utilities,Manufacturing,Technology",500K+ EGP,Medium Enterprises,2025-06-16,True
user_194,56+,Zagazig,Other,"Textiles & Garments,Retail & Commerce,Energy & Utilities",50K-100K EGP,Any Size,2025-06-16,True
user_195,26-35,Aswan,Business Owner,"Construction & Real Estate,Technology,Healthcare & Pharmaceuticals,Agriculture & Food",100K-500K EGP,Large Corporations,2025-06-16,True
user_196,46-55,Alexandria,Entrepreneur,"Energy & Utilities,Transportation & Logistics",500K+ EGP,Large Corporations,2025-06-16,True
user_197,26-35,Mansoura,Marketing,"Transportation & Logistics,Technology,Agriculture & Food",10K-50K EGP,Any Size,2025-06-16,True
user_198,56+,Cairo,Business Owner,"Construction & Real Estate,Energy & Utilities,Manufacturing,Education",500K+ EGP,Large Corporations,2025-06-16,True
user_199,46-55,Zagazig,Engineer,"Agriculture & Food,Financial Services",<10K EGP,Medium Enterprises,2025-06-16,True
user_200,18-25,Luxor,Sales,"Manufacturing,Textiles & Garments,Agriculture & Food",50K-100K EGP,Medium Enterprises,2025-06-16,False
user_201,56+,Luxor,Doctor,"Construction & Real Estate,Retail & Commerce",<10K EGP,Small Businesses,2025-06-16,True
user_202,18-25,Alexandria,Business Owner,"Transportation & Logistics,Healthcare & Pharmaceuticals,Construction & Real Estate",10K-50K EGP,Medium Enterprises,2025-06-16,True
